Codigo	Estado		Codigo	Categoria
0	AR		0	advertising
1	AZ		1	analytics
2	CA		2	automotive
3	CO		3	biotech
4	CT		4	cleantech
5	DC		5	consulting
6	FL		6	ecommerce
7	GA		7	education
8	ID		8	enterprise
9	IL		9	fashion
10	IN		10	finance
11	KY		11	games_video
12	MA		12	hardware
13	MD		13	health
14	ME		14	hospitality
15	MI		15	manufacturing
16	MN		16	medical
17	MO		17	messaging
18	NC		18	mobile
19	NH		19	music
20	NJ		20	network_hosting
21	NM		21	news
22	NV		22	other
23	NY		23	photo_video
24	OH		24	public_relations
25	OR		25	real_estate
26	PA		26	search
27	RI		27	security
28	TN		28	semiconductor
29	TX		29	social
30	UT		30	software
31	VA		31	sports
32	WA		32	transportation
33	WI		33	travel
34	WV		34	web
